Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,5.26,5.31,5.05,5.06,343200,5.06
2015-12-22,5.06,5.18,5.0,5.17,278300,5.17
2015-12-23,5.18,5.25,5.13,5.23,234400,5.23
2015-12-24,5.21,5.28,5.17,5.24,102200,5.24
2015-12-28,5.25,5.28,5.15,5.23,363000,5.23
2015-12-29,5.25,5.37,5.16,5.25,387600,5.25
2015-12-30,5.28,5.29,5.16,5.18,187800,5.18
2015-12-31,5.19,5.22,5.08,5.08,247400,5.08
2016-01-04,5.0,5.01,4.81,4.82,437900,4.82
2016-01-05,4.83,4.9,4.74,4.87,307700,4.87
2016-01-06,4.81,4.87,4.72,4.78,281600,4.78
2016-01-07,4.89,5.09,4.69,4.78,586700,4.78
2016-01-08,4.77,4.83,4.56,4.59,654900,4.59
2016-01-11,4.62,4.8,4.6,4.71,473800,4.71
2016-01-12,4.76,4.8,4.63,4.72,541300,4.72
2016-01-13,4.71,4.8,4.62,4.67,459300,4.67
2016-01-14,4.7,4.79,4.61,4.76,336700,4.76
2016-01-15,4.62,4.71,4.3,4.54,508700,4.54
