Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.4,2.46,2.36,2.4,21000,2.4
2015-12-16,2.34,2.49,2.34,2.39,55100,2.39
2015-12-17,2.5,2.5,2.35,2.36,34500,2.36
2015-12-18,2.37,2.55,2.37,2.48,15200,2.48
2015-12-21,2.65,2.8,2.6,2.71,94600,2.71
2015-12-22,2.76,2.78,2.61,2.71,34200,2.71
2015-12-23,2.75,2.8,2.69,2.72,55000,2.72
2015-12-24,2.71,2.8,2.71,2.74,16600,2.74
2015-12-28,2.74,2.98,2.74,2.83,22900,2.83
2015-12-29,2.85,2.9,2.81,2.82,43000,2.82
2015-12-30,2.82,2.87,2.76,2.76,34400,2.76
2015-12-31,2.79,2.95,2.79,2.92,30400,2.92
2016-01-04,2.91,2.91,2.8,2.84,26300,2.84
2016-01-05,2.85,2.9,2.84,2.84,20800,2.84
2016-01-06,2.83,2.97,2.8,2.88,66400,2.88
2016-01-07,2.85,2.89,2.75,2.79,41100,2.79
2016-01-08,2.91,2.93,2.81,2.84,25700,2.84
2016-01-11,2.84,2.93,2.73,2.79,25800,2.79
2016-01-12,2.82,2.88,2.79,2.84,13600,2.84
2016-01-13,2.82,2.88,2.79,2.82,30200,2.82
2016-01-14,2.85,2.85,2.76,2.79,29800,2.79
