Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,4.4,5.13,4.35,4.95,70510000,4.95
2015-12-16,5.67,6.47,5.65,6.21,109631500,6.21
2015-12-17,6.64,6.88,5.9,6.25,82204100,6.25
2015-12-18,6.19,6.64,6.08,6.51,61409500,6.51
2015-12-21,6.79,6.85,6.47,6.74,45433200,6.74
2015-12-22,6.6,6.67,4.46,5.31,155257000,5.31
2015-12-23,5.38,5.55,5.06,5.39,38289700,5.39
2015-12-24,5.64,6.12,5.55,5.92,53055600,5.92
2015-12-28,5.91,5.91,5.41,5.49,43601600,5.49
2015-12-29,5.19,5.27,4.95,5.02,42689000,5.02
2015-12-30,5.37,5.42,5.01,5.07,41212600,5.07
2015-12-31,4.9,5.19,4.84,5.09,24755100,5.09
2016-01-04,4.89,5.88,4.83,5.75,50467800,5.75
2016-01-05,5.75,5.98,5.53,5.66,42868400,5.66
2016-01-06,5.45,5.78,5.4,5.51,26313400,5.51
2016-01-07,4.91,5.0,2.95,3.34,162670700,3.34
2016-01-08,3.76,3.76,3.31,3.41,88405100,3.41
2016-01-11,3.52,3.58,3.21,3.34,33850000,3.34
2016-01-12,3.29,3.38,2.36,3.02,75116400,3.02
2016-01-13,2.99,3.28,2.5,2.81,53018000,2.81
2016-01-14,2.85,2.95,2.65,2.82,31689700,2.82
