Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.9,11.05,10.74,10.88,113000,10.88
2015-12-16,10.91,11.8,10.89,11.0,157300,11.0
2015-12-17,11.75,12.39,11.5,11.76,521200,11.76
2015-12-18,11.67,12.36,11.67,12.18,143500,12.18
2015-12-21,12.19,12.35,11.68,11.73,118700,11.73
2015-12-22,11.75,11.97,11.7,11.93,52900,11.93
2015-12-23,11.95,12.03,11.85,11.95,92900,11.95
2015-12-24,11.87,11.96,11.8,11.96,57300,11.96
2015-12-28,12.1,12.1,11.5,11.86,123600,11.86
2015-12-29,11.91,12.23,11.77,12.09,193900,12.09
2015-12-30,12.04,12.1,11.89,12.0,100500,12.0
2015-12-31,11.91,12.05,11.75,11.76,106500,11.76
2016-01-04,11.69,11.79,11.52,11.68,98000,11.68
2016-01-05,11.71,11.93,11.52,11.59,76600,11.59
2016-01-06,11.5,11.55,11.15,11.3,81100,11.3
2016-01-07,11.15,11.2,10.62,10.65,149800,10.65
2016-01-08,10.66,10.79,10.5,10.62,146800,10.62
2016-01-11,10.66,10.89,10.62,10.69,165900,10.69
2016-01-12,10.73,10.91,10.57,10.78,71900,10.78
2016-01-13,10.85,10.91,10.35,10.43,52000,10.43
