Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.51,2.68,2.51,2.64,36700,2.64
2015-12-16,2.65,2.68,2.5,2.58,27400,2.58
2015-12-17,2.54,2.59,2.45,2.51,67300,2.51
2015-12-18,2.55,2.67,2.49,2.49,32600,2.49
2015-12-21,2.5,2.92,2.5,2.72,155400,2.72
2015-12-22,2.75,2.79,2.63,2.71,30200,2.71
2015-12-23,2.71,2.82,2.7,2.71,21600,2.71
2015-12-24,2.68,2.8,2.61,2.69,11300,2.69
2015-12-28,2.69,2.7,2.55,2.55,55400,2.55
2015-12-29,2.56,2.62,2.42,2.43,53600,2.43
2015-12-30,2.41,2.46,2.36,2.4,43400,2.4
2015-12-31,2.39,2.39,2.28,2.33,66200,2.33
2016-01-04,2.36,2.36,2.26,2.31,17600,2.31
2016-01-05,2.28,2.28,2.21,2.24,11900,2.24
2016-01-06,2.24,2.32,2.23,2.23,32400,2.23
2016-01-07,2.27,2.27,2.0,2.1,40900,2.1
2016-01-08,2.01,2.18,1.92,2.07,34600,2.07
2016-01-11,2.03,2.09,2.01,2.03,22200,2.03
2016-01-12,2.28,2.28,2.04,2.06,5900,2.06
2016-01-13,2.01,2.15,1.93,1.94,38600,1.94
