Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,15.73,16.4,15.73,15.94,516700,15.94
2015-12-16,16.110001,16.950001,15.6,16.57,733000,16.57
2015-12-17,16.57,16.610001,15.74,16.0,467500,16.0
2015-12-18,15.92,16.709999,15.8,16.43,2600600,16.43
2015-12-21,16.51,16.719998999999998,15.8,16.110001,584800,16.110001
2015-12-22,16.25,16.540001,15.98,16.309998999999998,572200,16.309998999999998
2015-12-23,16.360001,16.540001,15.45,15.63,609800,15.63
2015-12-24,15.63,15.73,15.28,15.31,359300,15.31
2015-12-28,15.2,15.31,14.83,15.01,586700,15.01
2015-12-29,15.02,15.07,14.76,14.93,571100,14.93
2015-12-30,14.88,15.01,14.7,14.74,633000,14.74
2015-12-31,14.6,14.91,14.55,14.84,475900,14.84
2016-01-04,14.58,14.69,14.06,14.21,739500,14.21
2016-01-05,14.38,15.06,14.18,14.25,579200,14.25
2016-01-06,14.1,14.52,13.43,13.55,608000,13.55
2016-01-07,13.25,13.93,13.16,13.56,981200,13.56
2016-01-08,13.95,15.15,13.77,14.48,1791900,14.48
2016-01-11,14.67,14.67,13.13,13.3,1477900,13.3
2016-01-12,13.45,14.11,13.22,13.81,1161600,13.81
2016-01-13,13.83,14.5,12.67,13.0,1945100,13.0
2016-01-14,13.03,13.69,12.48,13.32,1103800,13.32
