Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,13.77,14.45,13.7,14.2,447300,14.2
2015-12-16,14.35,15.34,14.11,15.27,364700,15.27
2015-12-17,15.29,15.58,14.63,14.8,350400,14.8
2015-12-18,14.71,15.47,14.67,15.06,4036200,15.06
2015-12-21,15.15,15.27,14.2,14.39,257100,14.39
2015-12-22,14.85,15.55,14.11,15.41,284000,15.41
2015-12-23,15.65,15.69,15.05,15.26,98000,15.26
2015-12-24,15.19,15.44,14.87,14.91,52500,14.91
2015-12-28,14.82,14.82,13.825,13.91,173900,13.91
2015-12-29,14.01,14.58,13.87,14.54,217000,14.54
2015-12-30,14.43,14.81,14.07,14.24,151400,14.24
2015-12-31,14.12,14.73,13.96,14.62,166700,14.62
2016-01-04,14.08,14.29,13.34,13.52,271200,13.52
2016-01-05,13.84,13.84,13.28,13.5,243500,13.5
2016-01-06,13.24,13.39,12.91,13.18,248500,13.18
2016-01-07,12.98,13.0,12.32,12.55,515500,12.55
2016-01-08,12.58,12.8,12.2,12.33,293700,12.33
2016-01-11,12.49,12.49,11.5,11.84,445900,11.84
2016-01-12,11.93,12.54,11.61,12.18,189800,12.18
2016-01-13,12.25,12.33,11.52,11.75,240200,11.75
2016-01-14,11.77,12.69,11.632,12.66,288900,12.66
