Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,7.9,8.0,7.71,7.8,37800,7.8
2015-12-16,7.8,7.95,7.681,7.84,53400,7.84
2015-12-17,7.8,8.34,7.8,8.3,62000,8.3
2015-12-18,8.2,8.38,8.193,8.26,82800,8.26
2015-12-21,8.26,8.38,8.12,8.23,76400,8.23
2015-12-22,8.25,8.35,8.21,8.31,54200,8.31
2015-12-23,8.25,8.55,8.25,8.51,108600,8.51
2015-12-24,8.47,8.74,8.43,8.74,75000,8.74
2015-12-28,8.75,9.62,8.75,9.49,208100,9.49
2015-12-29,9.61,10.5,9.5,10.23,248700,10.23
2015-12-30,10.2,10.2,9.15,9.58,141700,9.58
2015-12-31,9.38,9.75,9.15,9.52,61300,9.52
2016-01-04,9.61,9.75,9.25,9.39,40500,9.39
2016-01-05,9.28,10.02,9.28,10.02,90400,10.02
2016-01-06,9.92,10.55,9.649,10.43,159200,10.43
2016-01-07,10.3,10.49,9.81,9.93,109300,9.93
2016-01-08,9.91,10.2,7.84,7.92,197500,7.92
2016-01-11,8.48,9.25,7.64,7.91,220700,7.91
2016-01-12,8.07,8.39,8.0,8.35,59700,8.35
2016-01-13,8.43,8.815,8.4,8.56,86500,8.56
