Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,7.62,8.13,7.57,8.0,39000,8.0
2015-12-22,8.05,8.44,8.05,8.44,9000,8.44
2015-12-23,7.95,8.47,7.93,8.33,5400,8.33
2015-12-24,8.01,8.324,8.01,8.12,8400,8.12
2015-12-28,8.1,8.59,8.1,8.46,10400,8.46
2015-12-29,8.3,8.3,7.992000000000001,8.03,12400,8.03
2015-12-30,7.25,8.19,7.25,8.19,90100,8.19
2015-12-31,7.62,8.57,7.62,8.04,79000,8.04
2016-01-04,7.79,8.05,7.651,7.96,11000,7.96
2016-01-05,8.19,8.19,7.86,8.015,15400,8.015
2016-01-06,8.03,8.08,7.85,7.87,13400,7.87
2016-01-07,8.19,8.19,7.69,7.865,19800,7.865
2016-01-08,7.81,8.04,7.8,7.94,16500,7.94
2016-01-11,8.25,8.25,7.86,8.24,39500,8.24
2016-01-12,8.13,8.42,7.96,8.03,21800,8.03
2016-01-13,7.96,7.98,7.61,7.73,25700,7.73
2016-01-14,7.8,7.84,7.77,7.83,11600,7.83
2016-01-15,7.66,7.88,7.44,7.67,36400,7.67
