Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,13.68,14.09,13.31,14.01,1181900,14.01
2015-12-16,14.05,14.55,14.0,14.4,428600,14.4
2015-12-17,14.47,14.59,14.14,14.19,322500,14.19
2015-12-18,14.1,14.55,14.05,14.07,421700,14.07
2015-12-21,14.16,14.58,13.6,14.24,255000,14.24
2015-12-22,14.31,14.42,13.96,14.37,324700,14.37
2015-12-23,14.43,15.97,14.38,15.76,460100,15.76
2015-12-24,15.72,15.86,15.02,15.36,137000,15.36
2015-12-28,15.32,15.37,14.76,14.92,183100,14.92
2015-12-29,15.04,15.92,14.95,15.76,229700,15.76
2015-12-30,15.69,15.87,15.12,15.22,184800,15.22
2015-12-31,15.17,15.43,15.11,15.12,176100,15.12
2016-01-04,14.88,15.14,14.27,14.58,354100,14.58
2016-01-05,14.6,14.81,14.29,14.42,306700,14.42
2016-01-06,14.14,14.69,14.07,14.41,198800,14.41
2016-01-07,14.1,14.23,13.84,13.91,359400,13.91
2016-01-08,13.99,14.46,13.8,13.85,316700,13.85
2016-01-11,13.91,14.1,13.48,13.59,473300,13.59
2016-01-12,13.72,14.24,13.33,13.89,342400,13.89
2016-01-13,13.94,14.32,13.16,13.27,428000,13.27
