Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,0.98,1.04,0.96,1.0,298000,1.0
2015-12-22,1.01,1.01,0.97,0.97,112800,0.97
2015-12-23,0.95,1.05,0.94,1.04,265100,1.04
2015-12-24,1.0,1.08,1.0,1.07,53800,1.07
2015-12-28,1.15,1.15,1.05,1.09,28700,1.09
2015-12-29,1.08,1.1,1.04,1.04,66000,1.04
2015-12-30,1.05,1.1,1.02,1.07,85600,1.07
2015-12-31,1.05,1.07,1.02,1.07,36200,1.07
2016-01-04,1.02,1.06,1.0,1.0,26600,1.0
2016-01-05,1.04,1.04,1.0,1.01,21800,1.01
2016-01-06,1.01,1.01,0.96,0.97,85100,0.97
2016-01-07,1.0,1.0,0.95,0.95,70100,0.95
2016-01-08,1.1,1.21,1.07,1.1,470600,1.1
2016-01-11,1.1,1.15,1.05,1.11,170600,1.11
2016-01-12,1.16,1.22,1.12,1.2,552100,1.2
2016-01-13,1.22,1.24,1.06,1.09,456900,1.09
2016-01-14,1.06,1.08,0.98,1.05,188500,1.05
2016-01-15,1.05,1.1,1.0,1.04,824900,1.04
