Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,3.09,3.2,3.05,3.14,12900,3.14
2015-12-16,3.1,3.13,2.89,3.0,17900,3.0
2015-12-17,2.94,2.95,2.82,2.89,8400,2.89
2015-12-18,2.8,2.87,2.39,2.39,78400,2.39
2015-12-21,2.45,2.65,2.45,2.61,41500,2.61
2015-12-22,2.56,2.56,2.38,2.51,15700,2.51
2015-12-23,2.44,2.6,2.28,2.5,39100,2.5
2015-12-24,2.51,2.55,2.5,2.5,11400,2.5
2015-12-28,2.5,2.55,2.5,2.51,15600,2.51
2015-12-29,2.5,2.6,2.46,2.55,16100,2.55
2015-12-30,2.52,2.58,2.5,2.55,15800,2.55
2015-12-31,2.55,2.83,2.55,2.8,22300,2.8
2016-01-04,2.77,2.77,2.65,2.71,5100,2.71
2016-01-05,2.7,2.78,2.7,2.75,6300,2.75
2016-01-06,2.73,2.79,2.7,2.79,4300,2.79
2016-01-07,2.65,2.78,2.61,2.72,22000,2.72
2016-01-08,2.79,2.84,2.7,2.8,9800,2.8
2016-01-11,2.85,2.94,2.8,2.91,10500,2.91
2016-01-12,2.8,2.9,2.7,2.79,12200,2.79
2016-01-13,2.84,2.85,2.75,2.75,6300,2.75
2016-01-14,2.75,2.82,2.72,2.72,4100,2.72
