Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,5.17,5.7,4.31,4.47,10370300,4.47
2015-12-16,4.1,4.25,4.01,4.04,871200,4.04
2015-12-17,4.28,4.38,3.55,3.75,1052600,3.75
2015-12-18,3.7,3.85,3.38,3.72,445900,3.72
2015-12-21,3.85,3.94,3.35,3.44,265400,3.44
2015-12-22,3.46,3.562,3.31,3.44,108900,3.44
2015-12-23,3.44,3.4819999999999998,3.33,3.38,99300,3.38
2015-12-24,3.31,3.31,3.161,3.27,102100,3.27
2015-12-28,3.18,3.33,3.17,3.33,39100,3.33
2015-12-29,3.37,3.37,3.139,3.37,184500,3.37
2015-12-30,3.26,3.26,3.14,3.19,53300,3.19
2015-12-31,3.08,3.173,3.05,3.15,96600,3.15
2016-01-04,3.25,3.25,3.06,3.089,42700,3.089
2016-01-05,3.11,3.75,3.11,3.54,702500,3.54
2016-01-06,3.5,3.5,3.242,3.34,122900,3.34
2016-01-07,3.13,3.25,3.02,3.1,126600,3.1
2016-01-08,3.04,3.38,3.04,3.24,316200,3.24
2016-01-11,3.25,3.4,3.11,3.18,299100,3.18
2016-01-12,3.23,3.23,3.05,3.14,59400,3.14
2016-01-13,3.19,3.19,2.84,2.94,36600,2.94
