Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,13.7,14.08,13.33,13.6,454600,13.6
2015-12-16,13.68,14.2,13.53,14.15,421100,14.15
2015-12-17,14.27,14.27,13.55,13.57,419800,13.57
2015-12-18,13.88,15.0,13.45,14.68,2607400,14.68
2015-12-21,14.72,14.97,14.02,14.95,443200,14.95
2015-12-22,14.84,15.12,14.53,14.8,241300,14.8
2015-12-23,14.83,15.08,14.51,14.98,267300,14.98
2015-12-24,15.02,15.17,14.91,15.01,87100,15.01
2015-12-28,15.0,15.35,15.0,15.13,288700,15.13
2015-12-29,15.19,15.38,14.69,14.92,249700,14.92
2015-12-30,14.93,15.6,14.8,15.53,488200,15.53
2015-12-31,15.45,15.84,15.38,15.73,663400,15.73
2016-01-04,15.37,15.56,14.22,14.79,723900,14.79
2016-01-05,14.92,15.05,13.73,13.83,340500,13.83
2016-01-06,13.69,13.69,12.66,12.7,389300,12.7
2016-01-07,12.21,12.45,11.37,11.51,547900,11.51
2016-01-08,11.86,11.86,11.27,11.5,561800,11.5
2016-01-11,11.63,11.63,10.72,11.08,725200,11.08
2016-01-12,11.24,11.55,10.83,11.22,503100,11.22
2016-01-13,11.11,11.59,10.07,10.1,489200,10.1
