Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,10.4,10.42,9.98,10.13,54600,10.13
2015-12-22,10.16,10.32,10.04,10.14,37300,10.14
2015-12-23,10.14,10.3,9.66,10.19,357400,10.19
2015-12-24,10.23,10.73,10.23,10.71,36200,10.71
2015-12-28,10.75,11.1,10.75,11.09,75000,11.09
2015-12-29,11.11,11.29,11.02,11.16,52600,11.16
2015-12-30,11.17,11.3,11.0,11.25,57900,11.25
2015-12-31,11.16,11.31,10.76,10.78,69400,10.78
2016-01-04,10.72,10.72,10.06,10.31,100900,10.31
2016-01-05,10.28,10.39,10.18,10.28,33100,10.28
2016-01-06,10.11,10.38,10.11,10.33,82500,10.33
2016-01-07,10.13,10.27,10.02,10.02,73300,10.02
2016-01-08,10.06,10.18,9.78,9.86,107800,9.86
2016-01-11,9.9,10.14,9.74,9.89,45700,9.89
2016-01-12,9.99,10.15,9.68,9.92,71800,9.92
2016-01-13,9.92,9.94,9.4,9.47,122800,9.47
2016-01-14,9.5,9.74,9.47,9.6,66500,9.6
2016-01-15,9.33,9.64,9.24,9.61,72800,9.61
